,Date,User,Tweet
20,2022-12-01 13:19:10+00:00,CongressOrBJP,National Institutes of Health (NIH) had deleted SARS-CoV-2 sequences from its databases https://t.co/UXne4Wb6mJ. #Covid19 hoax is not a virus but a #BioWarfare agent stimulated on a computer in lab clarifies Visionary @IMPraveenDalal. Modi govt fooled you. #DigitalIndia @_CEPHRC
21,2022-12-01 13:05:39+00:00,indiamarketing_,"James Webb Space Telescope - First Images from the Unseen Universe - Video for National Astro Video Podcast Competition 2022 by Space India - https://t.co/n2MeOsXOyl

#SPACEindia #DigitalIndia #ThinkShootUpload"
22,2022-12-01 12:45:00+00:00,EconomicTimes,"From #DigitalIndia to #DigitalBharat: India’s digital revolution has thrown up many opportunities. To underscore this &amp; to help businesses win in India's mobile-first consumer economy, @AppsFlyer is hosting MAMA India: The Digital 2.0 on Dec 2 at Mumbai  
https://t.co/0gptYwUDDD https://t.co/pt8NXOWBOB"
23,2022-12-01 12:39:08+00:00,PravinA00932293,"@ceo_csc , @PMOIndia ,@UIDAI ,@CSCegov_ 
No new CSC registration is allowed, Its been a month almost, no response on email and no update on website. 
Expectation from Digitalization is being FAST...ScreenshotAttached Digitalization Stuck..
#DigitalIndia https://t.co/SV0LqKfVM5"
24,2022-12-01 11:12:02+00:00,ChhaviLeekha,"@IndiGo6E pioneers launch of ‘Digital e-logbook’ for pilots,in its effort to contribute to Digital India. In collaboration with @DGCAIndia the e-logbook will provide direct flight data transfer service to pilots from #6E systems to eGCA logbooks, from 1st Dec’22 #DigitalIndia https://t.co/nG668VZPJp"
25,2022-12-01 10:36:03+00:00,_StareDecisis,National Institutes of Health (NIH) had deleted SARS-CoV-2 sequences from its databases https://t.co/G0jniCFOXM. #Covid19 hoax is not a virus but a #BioWarfare agent stimulated on a computer in lab clarifies Visionary @IMPraveenDalal. Modi govt fooled you. #DigitalIndia @_CEPHRC
26,2022-12-01 09:41:28+00:00,cigniti,"We are thrilled to announce that International magazine @Newsweek has featured @cigniti as one of the prominent leaders leapfrogging into the digital orbit from India.

Read the article to get a glimpse in to our growth story - https://t.co/gJfZXWWjh1

#DigitalIndia #Newsweek https://t.co/I0VgYk3Vs4"
27,2022-12-01 07:57:24+00:00,vsharathis,"If you look at history, innovation doesn’t come just from giving people incentives; it comes from creating environments where their ideas can connect. #NokiaBangaloreInnovationDay2022 #5G #DigitalIndia https://t.co/hFlooBTBaf"
28,2022-12-01 06:44:06+00:00,RIS_NewDelhi,"Enlightening questions and incisive queries on @G20_India's priorities and way forward from bright students across the country #UniversityConnect 

Digital tech enabling this live interaction #DigitalIndia #YouthofIndia #atmanirbharbharat
#AzadiKaAmritMahotsav

@Sachin_Chat https://t.co/KFNnC2djtJ"
29,2022-12-01 06:30:00+00:00,NationalistHub,"Key Takeaways from Draft Data Protection Bill 2022 | Nationalist Hub English
#india #ecosystem  #nationalisthubenglish
#protection #government #DigitalIndia 

https://t.co/UFi701Dgou https://t.co/VrrzLJMwhQ"
30,2022-12-01 06:27:30+00:00,prosunjoyi,#petcare #startup Vetic - that aims to provide pets with medical care and convenience to pet parents for all other pet care needs - has raised $3.7 million seed #funding from a clutch of angel investors. #India #StartupIndia #DigitalIndia
31,2022-12-01 02:30:00+00:00,pronteff,"May we put an end to this life-threatening disease to leave our generations a world free from AIDS.
-
#pronteff #fullstackdevelopment #IBMpartners #redhatpartners #ibmtechnologies #digitaltransformation #digitalindia #india #ibmaspera #HIV #AIDS #healthawarness #aidsawarenessday https://t.co/Ol996qi0Bh"
32,2022-11-30 19:51:15+00:00,_DigitalPolice,"From decentralisation to anonymity, #CBDC fails to meet the expectations of crypto stakeholders. It actually furthers #ESurveillance and @_Orwellian control warns Visionary @IMPraveenDalal. Use cash #DigitalIndia #LegalTech #InheritanceTax #NFTs #NFT @_PTLB @_ETax @_FinancialLaws https://t.co/bpmpPbi8q8"
33,2022-11-30 19:03:06+00:00,_PTLB,"The @Twitter would be a much better place if integration of @Google and @Apple is removed from it by @ElonMusk. It would ensure more #Privacy, #CyberSecurity and #FreeSpeech if it is #PureTwitter says Visionary @IMPraveenDalal. #DigitalIndia #LegalTech @TLCECBI @_ETax @_CEPHRC https://t.co/hN49q6GbgE"
34,2022-11-30 18:08:19+00:00,_AFPOH,"From decentralisation to anonymity, #CBDC fails to meet the expectations of crypto stakeholders. It actually furthers #ESurveillance and @_Orwellian control warns Visionary @IMPraveenDalal. Use cash. #DigitalIndia #LegalTech #InheritanceTax #NFTs #NFT @_ETax @_FinancialLaws https://t.co/IXNoAZaUHo"
35,2022-11-30 17:15:50+00:00,_PTLB,"From decentralisation to anonymity, #CBDC fails to meet the expectations of crypto stakeholders. It actually furthers #ESurveillance and @_Orwellian control warns Visionary @IMPraveenDalal. #DigitalIndia #LegalTech #InheritanceTax #NFTs #NFT @_ETax @_FinancialLaws @_CEPHRC https://t.co/F1uWXc3Q5P"
36,2022-11-30 16:52:03+00:00,WokePandemic,Germany says they have to learn a lot from #DigitalIndia https://t.co/wEQk8YurMG
37,2022-11-30 16:37:15+00:00,_StareDecisis,"From decentralisation to anonymity, #CBDC fails to meet the expectations of crypto stakeholders. It actually furthers #ESurveillance and @_Orwellian control warns Visionary @IMPraveenDalal. #DigitalIndia #LegalTech #InheritanceTax @_PTLB @_ETax @_FinancialLaws @_CEPHRC #NFTs #NFT https://t.co/UcE2GIEKip"
